name,price,original_price,discount,Email
TR,399.0,1499.0,73.0,b2fe488e344a47eda53b8d306edec9b7@sentry.flipkart.com
Kraasa,532.0,1999.0,73.0,
World Wear Footwear,249.0,998.0,75.0,
BIRDE,299.0,999.0,70.0,
HOTSTYLE,258.0,499.0,48.0,
World Wear Footwear,297.0,998.0,70.0,
ASIAN,498.0,699.0,28.0,
DXMODA,699.0,999.0,30.0,
World Wear Footwear,299.0,999.0,70.0,
BRUTON,299.0,1299.0,76.0,
aadi,341.0,999.0,65.0,
Furo by Red Chief,1099.0,2295.0,52.0,
density,448.0,999.0,55.0,
BIRDE,282.0,999.0,71.0,
density,429.0,1199.0,64.0,
REFOAM,1759.0,10325.0,82.0,
NIKE,2125.0,3695.0,42.0,
aadi,498.0,1999.0,75.0,
ASIAN,498.0,699.0,28.0,
Furo,1996.0,2495.0,20.0,
aadi,396.0,999.0,60.0,
aadi,344.0,999.0,65.0,
WHITE WALKERS,509.0,1199.0,57.0,
ASIAN,1199.0,1999.0,40.0,
CAMPUS,809.0,1299.0,37.0,
AIRDRON,444.0,999.0,55.0,
ASIAN,486.0,649.0,25.0,
ASIAN,599.0,1299.0,53.0,
BERSACHE,269.0,499.0,46.0,
BRUTON,299.0,1299.0,76.0,
ASIAN,598.0,999.0,40.0,
Kraasa,532.0,999.0,46.0,
ASIAN,499.0,699.0,28.0,
TPENT,422.0,1299.0,67.0,
TPENT,439.0,1299.0,66.0,
ASIAN,1399.0,2299.0,39.0,
AIRDRON,479.0,999.0,52.0,
AIRDRON,444.0,999.0,55.0,
CAMPUS,809.0,1299.0,37.0,
CAMPUS,1104.0,1299.0,15.0,
TR,399.0,1499.0,73.0,b2fe488e344a47eda53b8d306edec9b7@sentry.flipkart.com
Kraasa,532.0,1999.0,73.0,
World Wear Footwear,249.0,998.0,75.0,
BIRDE,299.0,999.0,70.0,
HOTSTYLE,258.0,499.0,48.0,
World Wear Footwear,297.0,998.0,70.0,
ASIAN,498.0,699.0,28.0,
DXMODA,699.0,999.0,30.0,
World Wear Footwear,299.0,999.0,70.0,
BRUTON,299.0,1299.0,76.0,
aadi,341.0,999.0,65.0,
Furo by Red Chief,1099.0,2295.0,52.0,
density,448.0,999.0,55.0,
BIRDE,282.0,999.0,71.0,
density,429.0,1199.0,64.0,
REFOAM,1759.0,10325.0,82.0,
NIKE,2125.0,3695.0,42.0,
aadi,498.0,1999.0,75.0,
ASIAN,498.0,699.0,28.0,
Furo,1996.0,2495.0,20.0,
aadi,396.0,999.0,60.0,
aadi,344.0,999.0,65.0,
WHITE WALKERS,509.0,1199.0,57.0,
ASIAN,1199.0,1999.0,40.0,
CAMPUS,809.0,1299.0,37.0,
AIRDRON,444.0,999.0,55.0,
ASIAN,486.0,649.0,25.0,
ASIAN,599.0,1299.0,53.0,
BERSACHE,269.0,499.0,46.0,
BRUTON,299.0,1299.0,76.0,
ASIAN,598.0,999.0,40.0,
Kraasa,532.0,999.0,46.0,
ASIAN,499.0,699.0,28.0,
TPENT,422.0,1299.0,67.0,
TPENT,439.0,1299.0,66.0,
ASIAN,1399.0,2299.0,39.0,
AIRDRON,479.0,999.0,52.0,
AIRDRON,444.0,999.0,55.0,
CAMPUS,809.0,1299.0,37.0,
CAMPUS,1104.0,1299.0,15.0,
